,Outlier,comment_count,down_votes,post_id,reputation,score,up_votes,user_id,view_count,views
143,views,0,94,33842576,108446,0,917,6068,6,10355
144,views,0,94,37093383,108446,1,917,6068,11,10355
145,views,0,94,37330755,108446,0,917,6068,10,10355
146,views,0,94,36953621,108446,0,917,6068,11,10355
147,views,0,94,29285164,108446,1,917,6068,17,10355
160,views,4,13,37622851,6116,0,1995,2287576,18,1551
161,views,3,13,36179316,6116,0,1995,2287576,13,1551
162,views,3,13,37163849,6116,0,1995,2287576,20,1551
163,views,2,13,37461297,6116,0,1995,2287576,20,1551
164,views,0,13,35135816,6116,0,1995,2287576,20,1551
165,views,2,13,36287093,6116,0,1995,2287576,17,1551
166,views,4,13,36086537,6116,0,1995,2287576,19,1551
167,views,2,13,37634638,6116,0,1995,2287576,9,1551
168,views,1,13,35058972,6116,0,1995,2287576,19,1551
169,views,3,13,36061045,6116,0,1995,2287576,19,1551
170,views,0,13,36320031,6116,0,1995,2287576,20,1551
171,views,1,13,37114640,6116,2,1995,2287576,18,1551
172,views,0,13,37120096,6116,0,1995,2287576,11,1551
173,views,0,13,36130680,6116,0,1995,2287576,15,1551
175,views,0,543,36342868,4631,0,575,3160466,19,7805
239,views,0,812,37410831,36172,0,1732,699224,16,3732
240,views,1,1,33078084,41249,1,5464,1006010,12,2506
247,views,1,10,31927569,25851,0,117,32484,19,3048
254,views,0,28,37594513,10738,2,698,911930,16,2483
255,views,2,28,31112735,10738,0,698,911930,20,2483
256,views,0,28,31874655,10738,0,698,911930,16,2483
257,views,0,28,31672052,10738,0,698,911930,16,2483
258,views,1,28,37612206,10738,0,698,911930,18,2483
259,views,0,28,37751754,10738,0,698,911930,4,2483
260,views,1,28,32587718,10738,0,698,911930,16,2483
261,views,0,28,35319247,10738,1,698,911930,19,2483
262,views,0,28,35772062,10738,0,698,911930,18,2483
263,views,0,28,37752896,10738,1,698,911930,10,2483
264,views,0,28,32033132,10738,0,698,911930,18,2483
265,views,0,28,34228412,10738,0,698,911930,19,2483
275,views,3,483,27375605,24592,0,1560,21061,19,2309
276,views,0,483,35343186,24592,2,1560,21061,17,2309
277,views,2,483,37149731,24592,0,1560,21061,13,2309
303,views,0,2440,35725444,17023,0,3114,1084416,10,4195
305,views,0,51,36869680,7778,0,438,11755,20,2214
306,views,0,51,35864852,7778,-1,438,11755,18,2214
307,views,2,51,34769995,7778,0,438,11755,14,2214
308,views,1,51,35486262,7778,-1,438,11755,15,2214
309,views,0,51,18732925,7778,0,438,11755,14,2214
310,views,0,51,37701416,7778,0,438,11755,18,2214
311,views,1,51,24308175,7778,0,438,11755,20,2214
312,views,0,51,37304406,7778,0,438,11755,10,2214
313,views,1,51,35379672,7778,0,438,11755,15,2214
314,views,0,51,37676475,7778,1,438,11755,14,2214
315,views,0,51,36576270,7778,0,438,11755,18,2214
316,views,1,51,37717428,7778,0,438,11755,16,2214
317,views,0,51,36411189,7778,0,438,11755,20,2214
318,views,0,51,32668104,7778,0,438,11755,13,2214
319,views,0,51,35853378,7778,1,438,11755,17,2214
320,views,3,51,37597066,7778,0,438,11755,16,2214
328,views,4,4010,37591016,4642,0,300,3270037,15,1516
329,views,2,4010,37311632,4642,0,300,3270037,19,1516
330,views,2,855,37137191,44166,0,2303,6241235,15,3943
331,views,1,855,36896267,44166,0,2303,6241235,17,3943
416,views,2,17,29264697,18397,0,577,84539,17,2225
454,views,0,759,26841113,17954,0,1354,3436942,19,2413
508,views,0,796,34719924,36800,0,1793,410636,16,3765
557,views,3,697,37589992,43870,1,1000,717214,11,3529
586,views,2,461,37642104,182476,4,3899,324584,18,26310
638,views,0,101,31383988,27681,0,1126,153422,12,2783
697,views,0,198,33542204,20587,0,1898,38522,13,2797
698,views,2,198,35154609,20587,0,1898,38522,18,2797
699,views,0,198,32889015,20587,0,1898,38522,7,2797
700,views,1,198,24763792,20587,0,1898,38522,19,2797
701,views,0,198,33732365,20587,0,1898,38522,13,2797
702,views,0,198,34335316,20587,0,1898,38522,18,2797
703,views,0,198,32850215,20587,0,1898,38522,17,2797
704,views,1,198,34162465,20587,1,1898,38522,19,2797
705,views,1,198,36920582,20587,0,1898,38522,14,2797
706,views,4,198,37055352,20587,2,1898,38522,20,2797
707,views,1,198,31301174,20587,-1,1898,38522,10,2797
708,views,0,198,32507199,20587,0,1898,38522,16,2797
709,views,2,198,31304513,20587,0,1898,38522,18,2797
710,views,0,198,36846139,20587,0,1898,38522,6,2797
711,views,2,198,32328862,20587,-1,1898,38522,18,2797
712,views,0,198,28127067,20587,0,1898,38522,12,2797
713,views,2,198,37729403,20587,0,1898,38522,15,2797
714,views,1,198,33018072,20587,-1,1898,38522,19,2797
715,views,0,198,31853183,20587,0,1898,38522,15,2797
734,views,3,62,33274895,2216,0,451,1668069,16,1426
735,views,0,62,34878976,2216,0,451,1668069,13,1426
736,views,0,62,35310502,2216,0,451,1668069,7,1426
737,views,2,62,21912547,2216,0,451,1668069,18,1426
738,views,3,62,33955274,2216,0,451,1668069,16,1426
739,views,1,62,37438348,2216,0,451,1668069,13,1426
740,views,6,62,24572919,2216,0,451,1668069,16,1426
741,views,2,62,34061639,2216,1,451,1668069,16,1426
742,views,0,62,35911670,2216,0,451,1668069,17,1426
743,views,0,62,36329740,2216,0,451,1668069,15,1426
744,views,0,62,37748222,2216,0,451,1668069,11,1426
745,views,1,62,34649959,2216,0,451,1668069,15,1426
746,views,1,62,32888629,2216,1,451,1668069,14,1426
747,views,0,62,37070013,2216,1,451,1668069,20,1426
748,views,1,62,34292302,2216,0,451,1668069,16,1426
749,views,1,62,36544530,2216,0,451,1668069,17,1426
760,views,2,266,29386926,11258,0,1886,2541,20,3766
773,views,0,38,31214704,10273,0,611,997112,16,1477
774,views,0,38,37229320,10273,0,611,997112,14,1477
775,views,1,38,33766510,10273,0,611,997112,18,1477
776,views,0,38,23717224,10273,1,611,997112,18,1477
777,views,6,38,37579834,10273,0,611,997112,15,1477
778,views,2,38,30823549,10273,0,611,997112,18,1477
779,views,0,38,33599188,10273,0,611,997112,16,1477
902,views,1,623,34573995,16675,0,787,1822164,20,2758
908,views,0,778,35155919,12553,2,920,789657,13,4323
943,views,2,20,36966678,1506,0,1121,1255427,12,27995
944,views,1,20,35337489,1506,0,1121,1255427,17,27995
945,views,0,25,36869970,4008,1,1889,1037617,19,1796
946,views,0,25,36911594,4008,0,1889,1037617,16,1796
947,views,2,25,31983790,4008,0,1889,1037617,18,1796
948,views,0,25,31158007,4008,0,1889,1037617,19,1796
949,views,0,25,36772256,4008,0,1889,1037617,16,1796
